图像,方法,匹配数,用时(s)
0,NN,134,0.120973
0,NNDR,141,0.0907963
0,Homography,249,0.0876323
1,NN,479,0.358617
1,NNDR,466,0.324698
1,Homography,1031,0.336019
2,NN,5933,8.75284
2,NNDR,5924,9.14682
2,Homography,17142,9.14835
3,NN,150,0.107877
3,NNDR,154,0.0913632
3,Homography,219,0.0933146
4,NN,222,0.329991
4,NNDR,236,0.448234
4,Homography,496,0.331858
